Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,36,D,5,30,95.0455,,,95.0455,0.188035653,0.216964215,0.007757947,0.002307924
1,36,D,5,31,908.038,962.2375,95.0455,1965.321,5.140808369,5.931701965,0.40876693,0.05429549
1,36,D,5,32,855.4095,380.182,314.2,1549.7915,3.966064957,4.576228796,0.299543333,0.04238468
1,36,D,5,33,1662.118,,,1662.118,4.281049287,4.939672255,0.328270781,0.045592357
1,36,D,5,34,1590.6375,,,1590.6375,4.080368963,4.708118034,0.309917717,0.043549999
1,36,D,5,35,254.502,,,254.502,0.55136511,0.636190511,0.028157795,0.006444714
1,36,D,5,36,346.4055,,,346.4055,0.772107636,0.890893427,0.042153977,0.008887939
1,36,D,5,37,415.5295,1256.8,78.55,1750.8795,4.531352388,5.228483525,0.351401642,0.048133669
1,36,D,5,38,572.6295,908.038,,1480.6675,3.773263042,4.353765048,0.28217909,0.0404156
1,36,D,5,39,1452.3895,,,1452.3895,3.694626277,4.26303032,0.275146731,0.039611185
1,36,D,5,40,962.2375,1194.7455,,2156.983,5.690766187,6.566268677,0.461709261,0.059827188
1,36,D,5,41,572.6295,908.038,,1480.6675,3.773263042,4.353765048,0.28217909,0.0404156
1,36,D,5,42,1885.9855,201.088,,2087.0735,5.489622441,6.33417974,0.442222662,0.057806949
1,36,D,5,43,908.038,962.2375,,1870.2755,4.869884174,5.619097124,0.383089303,0.051560694
1,36,D,5,44,314.2,1194.7455,,1508.9455,3.852038404,4.444659696,0.289253048,0.04122067
1,36,D,5,45,254.502,,,254.502,0.55136511,0.636190511,0.028157795,0.006444714
1,36,D,5,46,380.182,706.95,,1087.132,2.692593902,3.106839118,0.188328585,0.029285854
1,36,D,5,47,415.5295,,,415.5295,0.941846884,1.086746405,0.05348797,0.010744453
1,36,D,5,48,1520.728,153.958,,1674.686,4.316417062,4.980481226,0.331523269,0.045951844
1,36,D,5,49,1256.8,176.7375,,1433.5375,3.642279971,4.202630736,0.270481877,0.039075278
1,36,D,5,50,1452.3895,1385.622,,2838.0115,7.679366731,8.860807766,0.661203154,0.079642072
1,36,D,5,51,,,,,,,,
1,36,D,5,52,1256.8,283.5655,,1540.3655,3.939726268,4.545838002,0.297161131,0.042115945
1,36,D,5,53,908.038,,,908.038,2.211997169,2.552304425,0.148797811,0.024274442
1,36,D,5,54,1194.7455,,,1194.7455,2.984994587,3.444224524,0.213092441,0.032314492
1,36,D,5,55,804.352,,,804.352,1.937633494,2.235730954,0.126963215,0.02139184
1,36,D,5,58,855.4095,,,855.4095,2.072353651,2.39117729,0.137612986,0.022809443
1,36,D,5,59,490.9375,,,490.9375,1.13000971,1.303857358,0.066534224,0.012784799
1,36,D,5,60,,,,,,,,
1,36,D,5,61,452.448,346.4055,,798.8535,1.923171282,2.219043786,0.125828492,0.0212394
1,36,D,5,62,254.502,,,254.502,0.55136511,0.636190511,0.028157795,0.006444714
1,36,D,5,63,660.6055,855.4095,153.958,1669.973,4.303151269,4.965174541,0.3303027,0.045817023
1,36,D,5,64,227.0095,,,227.0095,0.486647665,0.561516537,0.024244902,0.005720599
1,36,D,5,65,754.8655,201.088,283.5655,1239.519,3.107380847,3.585439439,0.223604103,0.033578073
1,36,D,5,66,153.958,,,153.958,0.318437424,0.367427796,0.014584854,0.003816063
1,36,D,5,67,380.182,,,380.182,0.854692955,0.986184179,0.047612714,0.009793303
1,36,D,5,68,754.8655,,,754.8655,1.807808834,2.08593327,0.116838426,0.020021509
1,36,D,5,69,1134.262,113.112,,1247.374,3.128894604,3.610263005,0.225460497,0.033799957
1,36,D,5,70,415.5295,,,415.5295,0.941846884,1.086746405,0.05348797,0.010744453
1,36,D,5,71,1194.7455,227.0095,,1421.755,3.609595693,4.164918108,0.267575932,0.038740489
1,36,D,5,72,855.4095,,,855.4095,2.072353651,2.39117729,0.137612986,0.022809443
1,36,D,5,73,855.4095,254.502,,1109.9115,2.754274933,3.178009538,0.19350999,0.029925928
1,36,D,5,74,227.0095,78.55,,305.5595,0.673232348,0.776806555,0.035770365,0.007798137
1,36,D,5,75,615.832,314.2,78.55,1008.582,2.480828482,2.862494402,0.170721112,0.027083158
1,36,D,5,76,706.95,490.9375,,1197.8875,2.993569488,3.45411864,0.213826191,0.032403099
1,36,D,5,77,804.352,1134.262,132.7495,2071.3635,5.444506293,6.282122646,0.437871084,0.057353356
1,36,D,5,78,490.9375,201.088,,692.0255,1.644086668,1.897023078,0.104275384,0.018286951
1,36,D,5,79,1194.7455,490.9375,,1685.683,4.347383953,5.016212253,0.334375388,0.04626649
1,36,D,5,80,754.8655,,,754.8655,1.807808834,2.08593327,0.116838426,0.020021509
1,36,D,5,81,1075.3495,962.2375,,2037.587,5.347613654,6.170323447,0.428549732,0.056378628
1,36,D,5,82,572.6295,,,572.6295,1.336881849,1.542555979,0.081383267,0.015010292
1,36,D,5,83,,,,,,,,
1,36,D,5,86,132.7495,,,132.7495,0.270844412,0.312512783,0.01201311,0.003269671
1,36,D,5,87,1134.262,530.998,,1665.26,4.289888927,4.949871839,0.329083193,0.045682218
1,36,D,5,88,227.0095,,,227.0095,0.486647665,0.561516537,0.024244902,0.005720599
1,36,D,5,89,380.182,,,380.182,0.854692955,0.986184179,0.047612714,0.009793303
1,36,D,5,90,1385.622,1134.262,,2519.884,6.744211601,7.781782617,0.565922366,0.070357331
1,36,D,5,91,176.7375,804.352,,981.0895,2.407063323,2.777380758,0.16465626,0.026313912
1,36,D,5,92,380.182,,,380.182,0.854692955,0.986184179,0.047612714,0.009793303
1,36,D,5,93,415.5295,,,415.5295,0.941846884,1.086746405,0.05348797,0.010744453
1,36,D,5,94,706.95,283.5655,,990.5155,2.432333033,2.806538115,0.166729802,0.026577551
1,36,D,5,95,1075.3495,,,1075.3495,2.660736494,3.07008057,0.185661631,0.028955005
1,36,D,5,96,415.5295,283.5655,,699.095,1.662439256,1.918199142,0.105671767,0.018481765
1,36,D,5,97,,,,,,,,
1,36,D,5,98,1018.008,615.832,113.112,1746.952,4.520251825,5.215675183,0.350370338,0.048021104
1,36,D,5,99,1885.9855,314.2,113.112,2313.2975,6.142667164,7.087692882,0.505983282,0.064354326
1,36,D,5,100,1520.728,346.4055,132.7495,1999.883,5.239629324,6.045726144,0.418200744,0.055291374
1,36,D,5,101,1452.3895,283.5655,,1735.955,4.489182504,5.179825966,0.3474865,0.047705977
1,36,D,5,102,1662.118,471.496375,,2133.614375,5.623462063,6.488610073,0.455173451,0.059151568
1,36,D,5,103,2454.538255,122.734375,,2577.27263,6.912142761,7.97554934,0.582849834,0.072028735
1,36,D,5,104,615.832,572.6295,,1188.4615,2.967851027,3.424443493,0.211626728,0.032137307
1,36,D,5,105,1809.792,1075.3495,,2885.1415,7.818759924,9.021646066,0.675611011,0.081021491
1,36,D,5,106,2428.26328,136.86552,,2565.1288,6.876578343,7.934513473,0.579258061,0.071674921
